,method,status
0,PROPFIND,301
1,PROPFIND,301
2,PROPFIND,301
3,\x13BitTorrent,400
4,\x16\x03\x01\x00\x96\x01\x00\x00\x92\x03\x03\xCB\x077\xE6\x83Nq>\xB5\xED\x9E\x87\xB7\x08\xD7\xEAF,400
5,\x17\x10\x05\x15JL\xAD\xDC\xCEL\xC1Ff>F,400
6,j\x00\xA7\x00\xF3\x00H\x00z\x00\xF3\x00\xFE\x00\xFB\x00\x8E\x00\xFE\x00H\x00\x8E\x00H\x00\xF3\x00\xA7\x00\xD9\x00\xA7\x00\xF3\x00\xB0\x00H\x00\x8B\x00\xF3\x00\xC5\x00\xC5\x00\xFC\x00\x8E\x00\xFB\x00\xFC\x00\xEC\x00\x8B\x00\xF3\x00\xD9\x00\xA7\x00\xFB\x00\xFC\x00\xEC\x00\x8E\x00\xF3\x00\xFB\x00\xA7\x00\xC5\x00\xF3\x00\xEC\x00\x09\x00\x17\x00\xD9\x00\xFB\x00z\x00\xD9\x00\xC5\x00\xC5\x00z\x00\x17\x00\xA7\x00\x17\x00\x8B\x00\xF3\x00\x17\x00\xA7\x00j\x00j\x00\xC5\x00\x8E\x00\x09\x00\x09\x00\x09\x00\x17\x00\xFB\x00\x8B\x00z\x00H\x00\xFB\x00\x8E\x00\xA7\x00\x09\x00\x8B\x00\x8E\x00z\x00z\x00\xB0\x00\x17\x00\x8E\x00\xC5\x00j\x00\xEC\x00\xFB\x00\xEC\x00\xC5\x00\x8E\x00\xB0\x00\xC5\x00\x17\x00\x17\x00H\x00\xFB\x00\xB0\x00\xA7\x00\xA7\x00\xFB\x00\xB0\x00\x8E\x00\xC5\x00\xB0\x00H\x00\x17\x00\xC5\x00\x8B\x00j\x00\x8E\x00\xEC\x00\xF3\x00\xFE\x00\xD9\x00\xF3\x00\xA7\x00j\x00\xEC\x00\xA7\x00\xB0\x00\x17\x00\xFC\x00H\x00H\x00\x09\x00\x09\x00\x09\x00H\x00\x8E\x00\xCE\x00,400
7,\x00\x85\x07,400
8,\x05bE\x00\x05b\x00\x00@\x00;\x11\x0F\xAC\xD8:\xC2\xD6,400
9,E\x00\x00I\xCD{\x00\x00@\x11\xF5Q,400
10,\x05\x01\x00,400
